Name,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Oklahoma,3849733,1906944,1942789,10.07990431,66.05942584,8.314736842,6.716842105,1.801148325,0.106220096,48100.85427,24610.11579,18.20880383,31.71416268,18.33971292,23.78287081,12.24889952,13.91952153,1643.92065,76.32966507,16.95674641,6.477799043,0.234066986,6.958947368
Oregon,3939233,1948453,1990780,11.44121212,78.39551515,1.730787879,1.000242424,3.594909091,0.345333333,54271.90182,28042.78909,16.71684848,36.29527273,18.944,23.21224242,9.381818182,12.1710303,2146.051559,76.976,14.62787879,8.216727273,0.178787879,9.436121212
Pennsylvania,12779559,6245344,6534215,6.128013741,77.38385384,11.63394753,0.119269207,2.797751405,0.019394129,56170.46451,28782.76509,14.81137856,35.19070713,18.856602,23.86336045,8.168178974,13.92199625,1865.09913,83.91939925,10.8729975,5.060544431,0.147997497,8.545400501
Rhode Island,1053661,510388,543273,13.35666667,74.32541667,5.682916667,0.34625,3.2475,0.035833333,59125.27083,31203.59583,15.03625,36.04708333,20.8225,24.38333333,7.180833333,11.56708333,2123.647541,82.57833333,12.42416667,4.905,0.09125,8.840416667
South Carolina,4777576,2322409,2455167,5.056684982,62.88873626,28.75091575,0.292399267,1.249175824,0.046978022,46296.80776,24469.83501,19.50734619,31.31239669,18.99862259,24.57557392,9.381634527,15.73333333,1881.481414,78.54683196,15.97134986,5.322865014,0.157392103,10.18916437
South Dakota,843190,423477,419713,3.23963964,82.5009009,1.423873874,9.417567568,1.019369369,0.041891892,51805.40541,26420.90991,14.7972973,34.8536036,17.6518018,22.81846847,11.88198198,12.79189189,1940.779279,72.2018018,17.29459459,10.11936937,0.381981982,4.969369369
Tennessee,6499615,3167756,3331859,4.720026972,73.49008766,18.28381659,0.226635199,1.407282535,0.043155765,47328.08362,24607.83592,19.1446477,31.70094659,17.97910751,24.48999324,9.278701826,16.55260311,1929.687375,78.57728195,14.31588911,6.94469236,0.164367816,9.162001352
Texas,26538614,13171316,13367298,38.04673809,44.68790893,11.65004783,0.26114406,3.66969581,0.068815764,55874.5226,26940.68197,18.37089724,32.6224775,18.81236837,24.07009382,11.79596018,12.70034463,2297.105793,78.79781735,14.10562895,6.925119663,0.172180739,7.391805476
Utah,2903379,1459229,1444150,13.46837607,79.40683761,1.017948718,1.081367521,2.196068376,0.825982906,63488.91781,25078.17949,13.20462329,36.55924658,15.93664384,25.73561644,9.076712329,12.69092466,2274.908163,79.66130137,15.48767123,4.697089041,0.157363014,5.893150685
Vermont,626604,308573,318031,1.609289617,93.98306011,0.980874317,0.301639344,1.238797814,0.030601093,55602.96721,29666.2459,11.85081967,39.69016393,17.60327869,21.15136612,10.64808743,10.91202186,1775.717391,75.19617486,14.61639344,9.931147541,0.26010929,5.540983607
Virginia,8256630,4060948,4195682,8.011016498,63.27104843,20.17599787,0.212453433,5.45524215,0.064715274,72866.01341,34072.96058,12.47892209,41.02272,17.47274667,22.66245333,8.673866667,10.16698667,2092.695333,74.31525333,20.52421333,5.035626667,0.127306667,6.911146667
Washington,6985464,3487725,3497739,11.14096886,72.0384083,3.384429066,1.410726644,7.02200692,0.609896194,64493.76768,31555.7777,13.69778547,37.44539792,17.99619377,22.58359862,10.08249135,11.88955017,2235.855281,76.6083045,16.9732872,6.232456747,0.185051903,8.138961938
West Virginia,1851420,913631,937789,1.290909091,92.17623967,3.662809917,0.15268595,0.682438017,0.026446281,41437.11157,22930.65496,19.45847107,30.64752066,19.725,23.97479339,12.53636364,13.11446281,1552.173554,76.7177686,18.7822314,4.38946281,0.109710744,8.184504132
Wisconsin,5742117,2851385,2890732,6.683333333,79.86400862,8.195186782,0.953663793,2.404238506,0.020833333,53898.88921,27549.84256,14.63903666,32.90647017,18.17800144,22.8038821,8.587562904,17.5255931,2046.408801,82.23781452,12.34924515,5.227893602,0.184543494,7.147591661
Wyoming,579679,295561,284118,9.674045802,84.25801527,1.048854962,1.954198473,0.894656489,0.071755725,58757.85496,29227.25954,12.31374046,32.55954198,17.78625954,20.97480916,16.20458015,12.47480916,2226.886364,71.01984733,22.0259542,6.664885496,0.28778626,5.174045802
